"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"4";"0.1uF";"0.1UF-0402-16V-10%";"0402";"C5, C15, C18, C22";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-12416";"";"";"0.1uF";
"3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C6, C17";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C9";"1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"2";"100k";"100KOHM-0603-1/10W-1%";"0603";"R1, R2";"100kΩ resistor";"";"";"";"";"";"";"RES-07828";"";"";"100k";
"1";"100nF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C12";"0.1µF ceramic capacitors";"";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"2";"100pF";"100PF-0603-50V-5%";"0603";"C10, C16";"100pF/0.1nF ceramic capacitors";"";"";"";"";"";"";"CAP-07883";"";"";"100pF";
"2";"10k";"10KOHM-0603-1/10W-1%";"0603";"R3, R6";"10kΩ resistor";"";"";"";"";"";"";"RES-00824";"";"";"10k";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C23";"0.01uF/10nF/10,000pF ceramic capacitors";"";"";"";"";"";"";"CAP-00867";"";"";"10nF";
"1";"10uF";"10UF-0603-6.3V-20%";"0603";"C2";"10.0µF ceramic capacitors";"";"";"";"";"";"";"CAP-11015";"";"";"10uF";
"2";"12pF";"12PF-0603-50V-5%";"0603";"C4, C8";"12pF ceramic capacitors";"";"";"";"";"";"";"CAP-09137";"";"";"12pF";
"2";"1X2-3.5MM KF350 terminal block";"1X2-3.5MM";"1X2-3.5MM";"PY1, PY2";"3.5mm Terminal block";"";"";"";"";"";"";"";"";"";"";
"1";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"C3";"1nF/1,000pF ceramic capacitors";"";"";"";"";"";"";"CAP-07886";"";"";"1nF";
"4";"1omh";"1OHM-0603-1/10W-1%";"0603";"R4, R7, R8, R15";"1Ω resistor";"";"";"";"";"";"";"RES-08269";"";"";"1";
"1";"2.2nF";"2.2NF/2200PF-0603-50V-10%";"0603";"C19";"2.2nF/2,200pF ceramic capacitors";"";"";"";"";"";"";"CAP-07877";"";"";"2.2nF";
"1";"2.54mm 2PX3P header";"CONN_03X2NO_SILK";"2X3-NS";"HEADER";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"1";"2.54mm 3P header";"CONN_03";"1X03";"SERVO_Y";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"1";"2.54mm 3P header ";"CONN_03";"1X03";"SERVO_X";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";"";
"1";"2.54mm 4P header";"CONN_04";"1X04";"SWD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-09696";"";"";"";
"2";"22omh";"22OHM-0603-1/10W-1%";"0603";"R10, R13";"22Ω resistor";"";"";"";"";"";"";"RES-08698";"";"";"22";
"2";"2N7002KT1G";"MOSFET-NREFLOW";"SOT23";"MOSFET-1, MOSFET-2";"N-Channel Mosfet";"";"";"";"";"";"";"";"";"";"";
"1";"32.768MHz";"CRYSTALPTH-HC49US";"HC49US";"Y2";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";
"2";"470omh";"470OHM-0603-1/10W-1%";"0603";"R5, R14";"470Ω resistor";"";"";"";"";"";"";"RES-07869";"";"";"470";
"2";"680omh";"680OHM-0603-1/10W-5%";"0603";"R9, R11";"680Ω resistor";"";"";"";"";"";"";"RES-09333";"";"";"680";
"1";"8MHz";"CRYSTALPTH-HC49US";"HC49US";"Y1";"Crystals (Generic)";"";"";"";"";"";"";"";"";"";"";
"2";"BL-HGE36G-AV-TRB";"LED-GREEN0603";"LED-0603";"LED1, LED2";"Green SMD LED";"";"";"";"";"";"";"DIO-00821";"";"";"GREEN";
"1";"CMT-1285C-035";"BUZZER-PTH";"BUZZER-12MM";"BUZZER";"Buzzer";"";"";"";"";"";"";"COMP-08253";"";"COM-07950";"";
"1";"KF350-2P-terminal-block-接线端子";"CONN_023.5MM";"SCREWTERMINAL-3.5MM-2";"POWER_INPUT";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"CONN-08399";"";"";"";
"1";"LD1117AS33TR";"LD117AS33TR";"SOT223";"IC2";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";"";"";"";"";"";"";
"1";"MOMENTARY-SWITCH-SPST-SMD-4.5MM-轻触开关";"MOMENTARY-SWITCH-SPST-SMD-4.5MM";"TACTILE_SWITCH_SMD_4.5MM";"SWITCH";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"";"SWCH-09213";"";"";"";
"1";"MPU-6050";"MPU-6050";"QFN50P400X400X95-24N";"IMU";"MPU-6050 Six-Axis (Gyro + Accelerometer) MEMS MotionTracking™ Devices";"Unavailable";" 3-axis gyroscope, 3-axis accelerometer in a 4x4x0.9 housing ";"TDK InvenSense";"MPU-6050";"QFN-24 InvenSense";"None";"";"";"";"";
"1";"Micro-USB-5P-无柱-SMD";"USB_MICRO-B_SMT";"USB-MICROB";"MICRO-USB";"USB Type Micro-B Connector";"";"";"";"";"";"";"CONN-09505";"PRT-08533";"";"";
"1";"STM32F103C8T6";"STM32F10XCXT6";"TQFP48";"IC1";"ST STM32F101/103 48pin LQFP";"";"";"";"";"";"";"";"";"";"";
