"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"1";"";"CONN_023.5MM";"SCREWTERMINAL-3.5MM-2";"POWER_INPUT";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-08399";"";"";"";
"2";"";"CONN_03";"1X03";"SERVO_X, SERVO_Y";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"1";"";"CONN_03X2NO_SILK";"2X3-NS";"HEADER";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"1";"";"CONN_04";"1X04";"SWD";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"CONN-09696";"";"";"";
"2";"";"MOSFET-NREFLOW";"SOT23";"Q1, Q2";"N-Channel Mosfet";"";"";"";"";
"1";"";"USB_MICRO-B_SMT";"USB-MICROB";"J3";"USB Type Micro-B Connector";"CONN-09505";"PRT-08533";"";"";
"5";"0.1uF";"0.1UF-0402-16V-10%";"0402";"C6, C7, C11, C13, C14";"0.1µF ceramic capacitors";"CAP-12416";"";"";"0.1uF";
"3";"0.1uF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C1, C17, C18";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"1";"1.0uF";"1.0UF-0603-16V-10%";"0603";"C9";"1µF ceramic capacitors";"CAP-00868";"";"";"1.0uF";
"2";"100k";"100KOHM-0603-1/10W-1%";"0603";"R1, R2";"100kΩ resistor";"RES-07828";"";"";"100k";
"1";"100nF";"0.1UF-0603-25V-(+80/-20%)";"0603";"C12";"0.1µF ceramic capacitors";"CAP-00810";"";"";"0.1uF";
"2";"100pF";"100PF-0603-50V-5%";"0603";"C10, C16";"100pF/0.1nF ceramic capacitors";"CAP-07883";"";"";"100pF";
"2";"10k";"10KOHM-0603-1/10W-1%";"0603";"R3, R6";"10kΩ resistor";"RES-00824";"";"";"10k";
"1";"10nF";"10NF-0603-50V-10%";"0603";"C5";"0.01uF/10nF/10,000pF ceramic capacitors";"CAP-00867";"";"";"10nF";
"1";"10uF";"10UF-0603-6.3V-20%";"0603";"C2";"10.0µF ceramic capacitors";"CAP-11015";"";"";"10uF";
"2";"12pF";"12PF-0603-50V-5%";"0603";"C4, C8";"12pF ceramic capacitors";"CAP-09137";"";"";"12pF";
"2";"1X2-3.5MM";"1X2-3.5MM";"1X2-3.5MM";"PY1, PY2";"3.5mm Terminal block";"";"";"";"";
"1";"1nF";"1.0NF/1000PF-0603-50V-10%";"0603";"C3";"1nF/1,000pF ceramic capacitors";"CAP-07886";"";"";"1nF";
"4";"1omh";"1OHM-0603-1/10W-1%";"0603";"R7, R8, R12, R15";"1Ω resistor";"RES-08269";"";"";"1";
"2";"22";"22OHM-0603-1/10W-1%";"0603";"R10, R13";"22Ω resistor";"RES-08698";"";"";"22";
"1";"32.768MHz";"CRYSTALPTH-HC49US";"HC49US";"Y2";"Crystals (Generic)";"";"";"";"";
"2";"470";"470OHM-0603-1/10W-1%";"0603";"R4, R5";"470Ω resistor";"RES-07869";"";"";"470";
"2";"680";"680OHM-0603-1/10W-5%";"0603";"R9, R11";"680Ω resistor";"RES-09333";"";"";"680";
"1";"8MHz";"CRYSTALPTH-HC49US";"HC49US";"Y1";"Crystals (Generic)";"";"";"";"";
"1";"9DoF IMU";"MPU-9250";"QFN24-3X3";"U2";"MPU-9250 9 Degree of Freedom IMU";"IC-13192";"";"";"9DoF IMU";
"2";"GREEN";"LED-GREEN0603";"LED-0603";"D1, D2";"Green SMD LED";"DIO-00821";"";"";"GREEN";
"1";"LD1117AS33TR";"LD117AS33TR";"SOT223";"IC2";"Low drop fixed and adjustable positive voltage regulators 1 A";"";"";"";"";
"1";"SPST-SMD-5.2";"MOMENTARY-SWITCH-SPST-SMD-5.2-REDUNDANT";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST";"SWCH-08247";"";"COM-08720";"";
"1";"STM32F10XCXT6";"STM32F10XCXT6";"TQFP48";"IC1";"ST STM32F101/103 48pin LQFP";"";"";"";"";
